Player,Nation,Pos,Squad,Comp,CrdY/90,CrdR/90,G/90,A/90,PKatt,xA/90,(G-xG)/90,Sh/90,PassAtt/90,Prog/90,Cmp%,ShortAtt/90,LongAtt/90,(A-xA)/90,(1/3)/90,PPA/90,CrsPA/90,DeadAtt/90,(PassAtt:FK)/90,(PassAtt:CK)/90,(PassAtt:TI)/90,TB/90,UndPress/90,Sw/90,Crs/90,GroundAtt%,LowAtt%,HighAtt%,LeftAtt%,RightAtt%,HeadAtt%,OtherAtt%,Off%,Out%,OppInt%,OppBlk%,(SCA:Drib)/90,(SCA:Sh)/90,(SCA:Fld)/90,(SCA:Def)/90,GCA/90,(GCA:Dead)/90,(GCA:Drib)/90,(GCA:Sh)/90,(GCA:Fld)/90,(GCA:Def)/90,Tkl/90,(Tkl:Def)/90,(Tkl:Mid)/90,(Tkl:Att)/90,DriTkl/90,DriTklW/90,Press/90,SuccPress/90,(Press:Def)/90,(Press:Att)/90,Blk/90,Blk:Sh/90,Blk:ShoT/90,Int/90,Clr/90,TchDef:Pen%,Tch:Mid%,Tch:Att%,Tch:Live%,Dri/90,DriW%,CarrAvgDist,PCarrDist%,PCarries/90,(1/3 Carr)/90,CPA/90,Mis/90,Dis/90,Targ/90,Rec%,Rec:Prog%,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
Domagoj Bradarić,CRO,DF,Lille,Ligue 1,0.29,0.0,0.07,0.14,0,0.09,0.05,0.29,64.86,3.79,80.4,29.0,8.93,0.05,3.07,0.86,0.43,9.07,1.21,0.21,7.64,0.0,5.93,0.93,2.5,65.5,13.5,20.9,76.1,7.0,3.4,0.3,0.4,2.2,1.9,1.9,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,2.36,1.0,0.86,0.5,1.79,0.71,9.43,2.86,3.43,1.71,2.29,0.36,0.0,1.36,2.57,5.4,47.5,28.4,82.8,0.93,69.2,4.91,63.9,7.29,1.93,0.5,0.57,0.79,49.71,93.5,8.1,-1.8042590582349627,3.165447904335738,2.445534736148386,-1.4299520441453646,-1.6141057661742941,-1.63512702048761,1.870932725624882,0.7504231633104426,0.07777933284017834,-0.9193449323969977,0.3959031937156125,-0.47756127153360217,-1.2074626310582772,-0.1878949532451769,-0.6287380991390468,-0.45054758593346605,0.06739176317301104,-1.0297760852900095
Robbie Brady,IRL,MF,Burnley,Premier League,0.26,0.0,0.09,0.09,0,0.08,0.02,1.37,33.59,2.74,67.7,13.76,6.67,0.01,1.97,0.51,0.34,1.45,0.6,0.26,0.6,0.26,7.61,1.03,2.14,50.1,18.8,31.0,69.0,15.5,10.4,0.0,0.3,2.8,2.3,3.1,0.0,0.17,0.0,0.09,0.09,0.09,0.0,0.0,0.0,0.0,1.88,1.03,0.26,0.6,2.65,0.77,15.47,3.5,5.3,3.76,2.14,0.17,0.0,0.77,2.05,11.2,42.2,36.7,90.2,1.79,71.4,6.07,46.6,4.1,1.03,0.43,1.37,0.94,32.91,77.7,10.0,0.7714614827625393,-0.5666713084153718,3.180806851872169,1.287280717204852,1.9243069601578833,0.8983872618671339,2.118945465347541,-0.9256811316679456,0.3288467983355079,-0.9185182504038494,-0.978586198764271,-0.950428366563262,-0.05778368319991539,-0.1072305136682616,-0.56723759947083,-0.8937476505060511,-0.5608076756284435,-0.6705720367903113
Martin Braithwaite,DEN,FW,Barcelona,La Liga,0.23,0.0,0.15,0.15,1,0.16,-0.23,1.76,21.6,0.69,81.3,12.98,1.37,0.0,0.53,0.46,0.0,0.69,0.0,0.0,0.0,0.15,5.11,0.31,0.61,80.2,13.1,6.7,14.5,76.7,3.2,1.4,0.0,0.4,3.2,2.5,0.08,0.08,0.23,0.08,0.31,0.0,0.0,0.08,0.0,0.08,0.53,0.08,0.23,0.23,0.46,0.15,10.08,3.28,1.07,5.19,0.53,0.0,0.0,0.61,0.53,31.8,36.5,55.3,93.2,1.22,68.8,4.29,48.6,2.9,0.61,0.92,1.83,1.76,40.53,60.3,31.6,4.518679328913671,-4.416790798275384,-2.6681287972634817,-0.45124013148105796,-1.4003434209696723,-0.3605911512423317,-0.501985022488809,0.4443484300417816,1.9243727158413275,-1.900366813889102,-1.525195740224233,3.935638627834988,0.1629082453652468,0.9664294377379912,-0.4082061611725031,1.0919049485433097,-1.871222911644303,1.5773472584718518
Julian Brandt,GER,"FW,MF",Dortmund,Bundesliga,0.0,0.0,0.18,0.12,0,0.17,0.0,1.38,54.94,5.24,84.2,25.78,6.69,-0.05,3.61,1.87,0.18,1.57,0.36,0.72,0.42,0.42,8.01,1.99,1.51,79.8,12.0,8.2,18.5,77.6,1.6,0.9,0.1,1.2,3.5,2.0,0.24,0.12,0.18,0.0,0.54,0.0,0.12,0.0,0.06,0.0,1.87,0.96,0.72,0.18,2.41,0.9,18.98,6.02,5.12,4.46,1.63,0.06,0.0,0.84,0.42,11.9,42.6,45.9,92.3,2.83,66.0,5.35,37.6,5.54,1.57,0.6,2.17,1.99,63.49,82.4,17.4,3.0052404537041433,3.2707440813437585,-3.2538502671513085,1.0986260414178994,-0.8998152634963245,-0.21135579369565669,-0.39483791205040997,0.39227198497848587,0.32888742160182033,0.5711044726600644,-0.4143802154666359,-0.8607545112738552,1.4093728994512522,-2.283999266336872,1.9710403412835171,-0.39620021436363684,-1.7966520720141712,0.7162513242449062
Darko Brašanac,SRB,MF,Osasuna,La Liga,0.4,0.0,0.2,0.0,0,0.02,0.07,0.79,31.19,2.67,72.7,13.66,2.38,-0.02,2.48,0.69,0.2,1.29,0.3,0.0,0.1,0.0,7.72,0.2,1.09,67.0,17.1,15.9,19.4,65.4,6.7,0.3,0.3,3.5,3.8,6.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.49,0.4,0.79,0.3,1.68,0.79,20.69,6.04,3.27,6.24,1.19,0.2,0.0,0.4,1.29,23.1,48.1,38.3,92.6,0.59,83.3,5.17,56.8,3.07,1.19,0.79,1.39,1.49,35.35,68.3,18.9,1.7690517500479492,-2.345045890169031,0.6768025532321997,2.920932140125353,-0.2907945475435187,-0.1415985113324378,-0.2530778618827024,-1.6655165334918056,0.00414627799449684,0.07212170248157929,-0.188194508435271,-1.6778352561246423,-1.0064711859033033,0.07707342984595564,-0.9920993973760054,-0.5701823108458358,0.23114321583687264,-1.3904822807181991
Lilian Brassier,FRA,DF,Brest,Ligue 1,0.28,0.0,0.09,0.09,0,0.11,0.07,0.47,62.52,4.58,83.0,15.05,18.13,-0.02,5.14,0.65,0.0,2.52,1.21,0.0,1.31,0.09,6.26,1.4,0.37,73.4,5.4,21.2,82.1,11.5,2.8,0.0,0.0,1.6,2.7,1.0,0.0,0.09,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,1.96,1.03,0.84,0.09,0.75,0.37,11.31,4.58,5.7,0.75,1.5,0.47,0.0,1.78,5.89,12.8,45.7,5.4,89.9,0.65,85.7,6.17,52.6,5.98,1.21,0.0,0.28,0.56,53.36,97.5,0.7,-4.417169484866878,0.8353151223946069,-1.4350926040874274,-1.7785915684105214,0.04851938198568596,0.215136930644001,2.827895583549603,-0.768153831089561,-0.30959717397642894,-0.06532302630137736,-0.3582954343291476,-1.0652672194662591,-0.6471303477721008,0.22601045507015338,-0.16850251957537635,-0.2302476007347084,-0.31035035397730903,-0.7400475045906999
Josip Brekalo,CRO,FW,Wolfsburg,Bundesliga,0.05,0.0,0.35,0.15,0,0.17,0.16,2.33,42.03,4.16,75.3,15.35,7.87,-0.02,2.52,1.34,0.35,3.32,0.59,1.83,0.74,0.05,8.56,1.88,1.44,70.9,12.4,16.7,12.2,82.0,3.2,0.2,0.1,1.5,3.9,4.1,0.3,0.15,0.05,0.0,0.55,0.0,0.05,0.1,0.05,0.0,1.19,0.64,0.4,0.15,1.39,0.35,16.68,5.35,3.91,5.0,1.14,0.0,0.0,0.89,0.3,12.1,45.3,45.5,87.1,2.23,57.8,6.4,53.2,7.13,2.28,0.94,2.57,1.88,50.25,78.2,18.1,4.609064868925356,1.5462970695041123,-1.1561496687180222,-1.1650149941367045,-0.6330077725042869,0.8462453892176844,-0.8502941881502979,-0.08747563304359146,-0.10624334870239294,1.4925157016584096,-0.5289487385970936,-1.7888882283466447,0.21203845231618587,1.3009958164039412,0.0360774711257308,-0.5136436112181407,0.9796210254767702,0.059276944105700065
Gleison Bremer,BRA,DF,Torino,Serie A,0.06,0.0,0.15,0.0,0,0.02,0.05,0.8,48.93,2.12,84.4,13.19,11.13,-0.02,2.27,0.09,0.0,1.63,1.53,0.03,0.06,0.0,5.71,1.32,0.03,75.1,7.1,17.8,20.9,73.2,4.1,0.3,0.2,1.5,1.3,1.8,0.0,0.06,0.03,0.03,0.06,0.0,0.0,0.0,0.03,0.0,1.99,1.56,0.37,0.06,1.23,0.64,11.07,4.11,6.87,0.67,1.84,0.61,0.0,2.7,6.1,37.1,44.5,4.9,91.6,0.37,50.0,5.86,51.0,2.12,0.4,0.0,0.28,0.37,39.75,96.8,0.8,-5.10230098193211,-2.451113602816495,-0.8060326656695468,-0.5152484962264451,-0.7631190024142241,1.689464990307911,0.22296196001373264,0.7910885920573935,0.05285199261232231,1.0694332138735128,-0.686782976537875,-0.18992242266197953,0.45731700418369076,-0.03124187314127755,0.2284115411045024,0.2863558339386432,0.17371338043428447,-1.0137255058441983
Rhian Brewster,ENG,FW,Sheffield Utd,Premier League,0.08,0.0,0.0,0.0,0,0.13,-0.14,1.99,18.0,1.12,69.3,8.88,2.64,-0.14,1.04,0.32,0.16,0.56,0.08,0.0,0.0,0.24,4.48,0.48,1.04,62.7,20.9,16.4,10.7,76.4,8.4,0.0,0.4,2.2,4.4,5.3,0.0,0.32,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.08,0.56,0.48,0.96,0.0,19.04,4.88,1.04,8.64,1.28,0.24,0.0,0.48,0.24,16.2,36.5,55.1,93.0,1.36,52.9,3.6,50.6,1.68,0.64,0.24,1.76,1.28,38.08,48.5,30.3,4.501632945983931,-4.772438365049797,1.0066151324461958,2.187057048032108,0.30237919733231217,-1.3276636924085132,-1.021793505495481,-2.4243719454048773,0.8531052505016817,-0.05945843848182635,-1.478131127495304,0.7902833865402482,2.5417119477485635,-1.123952635614743,-0.9362504711958458,0.8616265907759886,-1.4463805681678281,0.39418280764862695
Anthony Briançon,FRA,DF,Nîmes,Ligue 1,0.29,0.0,0.0,0.0,0,0.01,-0.01,0.29,61.76,3.82,86.8,13.09,21.84,-0.01,3.38,0.37,0.0,3.46,3.09,0.0,0.37,0.0,3.68,4.71,0.07,73.8,9.2,17.0,4.0,88.3,5.6,0.0,0.2,1.3,1.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.18,0.96,0.22,0.0,1.47,0.66,7.13,2.94,5.15,0.15,1.69,0.96,0.0,1.54,5.81,31.6,37.5,1.8,89.5,0.15,50.0,5.62,55.5,2.28,0.59,0.0,0.0,0.0,48.82,97.9,0.0,-6.692488850191832,-1.4316592752459725,-1.0938224799717142,-3.4448096910298567,1.2744002213269472,1.2960681166440318,-1.2435544733789712,-0.27984243084781624,-0.43705013792991537,0.3480756542983622,-0.5733340228067177,0.2457604348475482,0.7354816914638556,0.04607814010903739,-0.24297104705464104,-0.984619437545091,-0.03148967163399042,-1.1491481458883002
Yan Brice Eteki,CMR,MF,Granada,La Liga,0.27,0.07,0.0,0.0,0,0.0,-0.02,0.48,24.29,1.63,77.9,10.14,3.54,0.0,1.7,0.14,0.07,0.61,0.48,0.0,0.07,0.0,5.44,0.27,0.07,70.0,16.2,13.7,6.2,82.9,5.6,0.3,0.3,2.2,3.1,2.5,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.84,0.75,0.95,0.14,1.29,0.68,21.5,5.1,7.21,2.86,1.43,0.27,0.0,1.02,1.63,4.5,63.4,13.4,96.1,0.41,83.3,3.49,37.2,0.61,0.14,0.0,0.68,0.88,18.91,88.8,5.7,-2.531067685403891,-3.7630734446782643,-0.13574641501227247,4.267833296468679,0.7048507936851739,-0.45169218489150864,-1.017009995149013,-0.8628034315590093,1.314454183083938,0.790409997853639,2.428054096624294,0.2535915188358298,-1.2295308917866272,-0.21565352846956742,-0.46161052196770613,0.06045350513968482,-1.5552728124359954,1.593286915959429
Dylan Bronn,TUN,DF,Metz,Ligue 1,0.11,0.0,0.05,0.0,2,0.01,-0.0,0.34,46.78,2.3,84.4,11.61,13.17,-0.01,2.98,0.21,0.03,2.19,1.95,0.0,0.21,0.05,4.51,1.48,0.13,73.5,7.1,19.3,7.7,86.9,3.9,0.2,0.3,1.5,1.6,0.8,0.03,0.05,0.0,0.03,0.05,0.0,0.0,0.0,0.0,0.0,1.98,1.35,0.63,0.0,1.48,0.74,10.95,3.98,6.23,0.45,1.19,0.42,0.0,1.0,4.3,21.6,46.7,3.3,89.1,0.5,84.2,5.39,59.9,2.77,0.53,0.0,0.13,0.42,36.94,97.9,0.4,-4.851339590164996,-1.7363532095205196,-1.0200695523775507,-0.8131227494022736,-0.021815781937835302,1.292502362041532,-0.7548451498207217,-0.14747472878856407,0.042836930840850135,1.099463667645624,-0.22210477787698935,-0.44256713043525886,-0.1381753272133316,0.9035845526601591,0.6802509023487756,1.2538269409244318,-0.7752748632952795,-0.4239844643933395
John Brooks,USA,DF,Wolfsburg,Bundesliga,0.16,0.0,0.06,0.0,0,0.02,0.01,0.58,60.68,3.99,84.8,9.58,18.47,-0.02,3.7,0.19,0.0,3.02,2.86,0.0,0.16,0.0,5.39,2.27,0.06,73.8,7.5,18.6,74.5,17.0,5.5,0.5,0.4,2.1,1.4,0.7,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,1.92,1.4,0.52,0.0,2.14,0.97,9.06,3.67,5.19,0.26,2.05,0.45,0.0,1.66,6.14,51.0,49.9,2.1,88.5,0.36,63.6,6.5,53.4,3.41,0.45,0.03,0.1,0.29,47.24,97.2,0.5,-6.057718811495996,-0.9691340585780823,-0.5504547402797938,-1.7318541260470495,0.8165663661502162,1.480068998955428,2.6340263520355593,-0.6088283378314898,-0.7924751908785396,0.1675091753935044,-0.37381894869168614,-0.5589557305101461,0.3668497557076138,0.34966017869104127,0.13966173818904704,-0.11930789934488409,0.21481039514423056,-1.284927077391885
Daniel Brosinski,GER,DF,Mainz 05,Bundesliga,0.0,0.0,0.13,0.06,2,0.15,0.01,0.44,52.77,4.47,63.4,14.97,14.15,-0.09,2.77,1.32,0.57,16.29,2.58,3.14,10.57,0.06,5.35,1.95,3.65,42.3,21.0,36.7,5.2,70.3,3.5,0.0,0.4,1.8,3.7,3.5,0.06,0.0,0.0,0.0,0.25,0.19,0.0,0.0,0.0,0.0,1.19,0.63,0.5,0.06,2.39,0.75,8.93,2.7,3.14,1.51,2.14,0.13,0.0,0.82,2.52,2.5,42.0,30.7,70.2,1.26,45.0,4.68,63.5,3.4,1.19,0.13,0.31,0.57,33.71,87.7,5.5,-0.3792412336457424,3.2213882750466265,7.122450865688539,-4.132753974241301,3.0372750328067277,-0.8388172329460906,-2.5187206470277195,-0.3323997207645263,1.091526811782529,3.1825830125425836,-0.37702928886076065,1.1122694778479254,0.48916315771639796,0.3988874790099349,1.3076108854051016,0.9583489696555672,0.3059836331051645,0.5506227465854996
Josh Brownhill,ENG,MF,Burnley,Premier League,0.06,0.0,0.0,0.03,0,0.04,-0.06,1.15,37.92,2.11,79.0,17.86,4.86,-0.0,2.11,0.54,0.06,0.73,0.32,0.0,0.35,0.0,8.27,0.61,0.54,59.8,17.2,23.0,10.6,72.7,9.8,0.8,0.2,1.4,1.3,2.1,0.06,0.06,0.19,0.06,0.03,0.0,0.0,0.0,0.0,0.0,1.63,0.35,1.02,0.26,1.41,0.32,15.65,3.99,3.29,4.03,1.88,0.38,0.03,1.69,1.79,14.0,52.2,29.8,94.4,0.61,73.7,4.13,42.9,2.04,0.7,0.22,0.7,0.45,30.48,84.9,10.5,-1.2353661860894547,-3.0389285052804036,-0.02918396439158288,2.110831828566427,0.8700941880973889,-1.3378423243372364,-0.5388994666057559,-0.19784475215840983,0.5397410414813504,-1.2264008249431997,-0.986917256914881,-0.258129109406948,0.30238550809450526,-0.7790659819795721,1.1835976983842245,0.2037210025411949,0.26677101588308183,0.7817314443786044
Marcelo Brozović,CRO,MF,Inter,Serie A,0.31,0.03,0.07,0.21,0,0.15,0.01,0.94,79.2,7.11,88.0,25.61,16.13,0.06,8.19,1.5,0.35,5.09,2.82,2.06,0.21,0.14,10.42,3.87,0.91,72.2,13.3,14.5,13.9,82.1,2.6,0.2,0.1,0.7,1.4,1.6,0.03,0.03,0.0,0.07,0.35,0.07,0.0,0.0,0.0,0.0,1.81,0.77,0.77,0.28,1.92,0.42,18.61,5.37,6.72,3.21,1.67,0.59,0.03,1.36,1.57,2.1,54.6,20.9,88.4,0.59,64.7,5.22,44.5,5.26,1.53,0.07,0.7,0.7,68.15,96.8,2.2,-2.834509568776929,5.539081340111237,-3.0324938396647085,-0.7699221837605074,3.6446914593747,-1.1448596013968153,-1.0510927506931587,0.517126574920798,0.8741406963097185,-0.4725544236456879,-0.03889925433506565,0.3142196570159443,0.3584669669592605,-0.8015663319002616,-0.7957002979741306,-1.5997674623422635,1.4902767557058059,0.2986958177861938
Gastón Brugman,URU,MF,Parma,Serie A,0.39,0.0,0.06,0.06,0,0.13,-0.01,1.0,60.56,5.56,83.2,16.33,14.61,-0.08,4.44,0.61,0.0,6.28,3.67,2.22,0.06,0.17,6.67,3.0,0.89,68.0,12.8,19.2,12.8,84.1,2.2,0.2,0.5,1.6,1.7,1.9,0.0,0.06,0.0,0.06,0.17,0.0,0.0,0.0,0.0,0.0,2.33,1.0,1.11,0.22,2.67,0.89,19.11,5.44,8.83,1.89,2.11,0.22,0.0,2.06,1.78,3.1,55.8,16.5,86.0,1.06,78.9,5.5,52.9,4.0,1.0,0.11,0.44,0.56,47.94,95.7,2.4,-3.988383510853018,3.57156369126798,-0.7072752116215715,1.38132465350751,2.7151980041424726,1.0588943390851884,-0.8044800748726465,-1.285183952683933,-0.19807012326977827,1.5273094964785379,-0.1534409415109921,0.3139244969860965,0.3748073970936539,0.408163585075013,0.06651195053350283,0.29775345987100676,-0.5963594179165279,-0.24339091521684683
Cédric Brunner,SUI,DF,Arminia,Bundesliga,0.2,0.0,0.0,0.03,0,0.04,-0.01,0.2,48.85,3.15,71.4,14.24,12.78,-0.0,2.68,0.98,0.51,10.61,0.78,0.07,9.76,0.0,6.61,1.19,1.8,50.2,14.9,34.9,10.6,62.3,4.7,0.3,0.5,1.9,1.3,2.6,0.03,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,1.73,1.12,0.51,0.1,1.63,0.88,12.03,3.15,6.03,1.15,2.27,0.31,0.0,1.02,4.07,4.7,45.9,16.5,79.1,1.32,82.1,4.16,46.8,2.24,0.71,0.1,0.44,0.54,30.41,94.3,1.2,-3.4717536905631103,-0.00495521480117839,4.8535177106846055,-0.6532556672331268,0.6911709964216003,-1.3115947414138938,-1.2118887299703114,0.20711231670528482,-0.05124782019339355,0.22600708279802365,-0.07478525083190497,-0.44604442675818584,-0.3180434906139789,-0.025680022501262754,1.3223644271899173,0.19093131409691727,-1.399382521809696,0.11535153732408032
Bryan,ESP,"MF,FW",Eibar,La Liga,0.24,0.0,0.16,0.12,0,0.21,0.0,1.59,40.4,3.49,68.3,18.81,6.79,-0.09,1.79,2.1,0.71,3.93,0.95,2.02,0.95,0.12,6.19,2.14,4.37,64.4,14.6,20.9,88.5,5.5,2.5,0.3,0.2,2.3,3.2,5.6,0.56,0.12,0.12,0.04,0.32,0.04,0.08,0.0,0.0,0.0,1.43,0.56,0.4,0.48,0.95,0.12,16.67,4.48,3.69,7.26,1.27,0.0,0.0,0.6,0.48,12.2,34.0,57.6,85.9,5.0,57.1,5.76,56.4,8.33,2.34,1.39,2.34,2.46,53.02,72.4,13.8,6.358376529636292,3.183158549440424,1.8614755160581777,-2.116653096096509,-1.3317012666767583,1.350534420144745,1.9621335904208628,-3.467417744234861,0.6316976506553901,0.2867787059662463,-1.1166803642352587,-0.5493898196444511,0.5049897467136639,-1.0690182786225735,-0.0704822475468388,-2.523580815325512,-1.2091177153936632,0.5705792541683843
Kean Bryan,ENG,DF,Sheffield Utd,Premier League,0.09,0.0,0.09,0.0,0,0.03,0.05,0.18,39.55,1.96,72.9,11.52,10.27,-0.04,2.41,0.27,0.09,1.96,0.36,0.0,1.61,0.0,4.82,1.34,1.34,58.0,10.8,31.2,84.2,4.3,5.6,0.0,0.2,2.7,3.2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14,1.16,0.89,0.09,1.34,0.8,13.39,3.93,7.23,0.98,2.32,0.98,0.0,2.5,6.25,10.6,43.5,10.4,89.8,0.45,60.0,4.94,46.5,0.98,0.71,0.0,0.36,0.45,29.91,94.6,2.5,-4.56445153536871,-2.3343270083374303,3.145938257767872,0.5596769589568711,0.24512304471326846,1.097102370109301,2.982657661819713,-0.20068786543904102,0.145179309695318,0.6683447120840764,-0.7664019980719174,-1.2233630978992596,-0.09154236625865525,-0.664700670627504,0.41891034790480897,0.2546382394129102,-0.5928726156688958,-0.04636774275067483
Ante Budimir,CRO,FW,Osasuna,La Liga,0.17,0.0,0.61,0.0,0,0.03,0.22,2.6,22.1,1.22,62.8,12.54,1.16,-0.03,1.1,0.28,0.0,1.27,0.06,0.0,0.17,0.0,9.34,0.17,0.28,49.0,25.5,25.5,50.5,9.2,10.0,4.5,0.8,2.8,5.5,3.5,0.11,0.22,0.11,0.06,0.06,0.0,0.0,0.06,0.0,0.0,1.1,0.22,0.55,0.33,0.72,0.22,21.6,6.3,1.88,10.28,0.77,0.06,0.0,0.06,0.99,34.1,47.4,44.2,91.9,1.22,50.0,3.73,48.5,2.1,0.55,0.72,3.48,1.6,53.26,47.6,25.3,6.652029038936083,-5.616853531745406,1.0349381340970678,3.177110697481307,2.3267062406286603,-2.831013128444201,2.3714456695248645,-0.2271508076933562,-1.3241777554739145,1.6007208586720403,-1.0937030441763689,-2.0283758500908964,-0.3539969181270405,0.193609115346806,-1.276084036609848,-1.4298115905223818,2.162332543524114,-1.1061848585999852
Marius Bülter,GER,"FW,MF",Union Berlin,Bundesliga,0.09,0.0,0.09,0.0,0,0.11,-0.09,1.75,29.45,1.38,62.0,11.38,4.22,-0.11,1.1,1.19,0.73,1.47,0.0,0.09,1.1,0.0,5.6,0.83,2.39,62.3,22.4,15.3,29.0,58.6,4.4,1.2,0.9,3.1,2.8,10.3,0.18,0.0,0.09,0.09,0.28,0.0,0.0,0.0,0.0,0.0,1.56,0.73,0.46,0.37,1.65,0.18,17.34,4.68,4.95,3.94,1.65,0.09,0.0,0.64,1.1,10.7,40.9,38.9,88.3,2.2,54.2,6.49,51.0,4.22,1.93,0.64,2.57,1.74,38.35,69.4,16.6,4.029350337743414,-1.3570922168962247,3.4395293343746434,1.364681912753528,-1.2147876886994842,0.6008204198893763,-0.6424976750287655,-3.401614680624902,0.20843677465070726,-0.6777177128739696,-1.6154083262208796,-0.5916615426522182,0.3257598263745872,-0.4108001611774092,-1.361192833376158,1.0690649819604874,-0.34722736513664415,-0.8365874855638743
Alessandro Buongiorno,ITA,DF,Torino,Serie A,0.42,0.0,0.0,0.0,0,0.0,-0.02,0.31,44.53,2.21,85.1,14.32,7.79,0.0,3.26,0.11,0.0,2.74,2.11,0.0,0.63,0.11,3.16,0.74,0.0,76.1,9.0,14.9,75.9,16.3,4.0,0.2,0.0,2.4,1.7,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.53,0.32,0.0,0.84,0.42,10.84,3.05,5.79,0.63,2.21,0.95,0.0,2.0,4.63,24.1,49.9,4.9,85.7,0.21,100.0,6.61,58.6,2.84,0.42,0.0,0.63,0.42,36.63,96.6,0.6,-5.2576356120837096,-2.5737298809869813,-0.3416241018419711,-2.0166590553900736,-1.0392679672835348,1.0134494045639424,2.312384808447055,-1.2871777482317324,0.3404060431862635,-0.39474504686090073,0.7341507396188531,0.05338593826333873,-1.110901969351129,0.5139155590196389,0.32021960777499503,0.30441222048001143,-0.6840357751155062,-0.3310853705463227
Esteban Burgos,ARG,DF,Eibar,La Liga,0.41,0.0,0.24,0.08,3,0.01,-0.02,0.24,44.47,2.2,76.2,7.56,17.15,0.07,1.87,0.0,0.0,1.87,1.87,0.0,0.0,0.0,4.15,3.5,0.0,57.0,11.3,31.6,10.2,73.5,12.1,0.5,0.5,2.4,0.5,0.9,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.08,0.0,0.0,0.73,0.41,0.33,0.0,0.65,0.24,4.72,2.28,2.36,0.33,1.22,0.49,0.0,0.98,7.15,66.7,51.9,2.5,91.4,0.08,100.0,6.43,50.2,1.46,0.16,0.08,0.0,0.16,29.27,95.8,0.3,-4.394965439970886,-5.514461092678223,-0.1796883205073354,-3.7976621109422593,3.941826065963851,1.8483147420841628,-0.2452961441209256,0.4583081990479204,-1.7534225541974415,-1.2395356117366771,0.42435011207453116,-1.6229865371002117,-0.4203341002377404,2.1773069189321497,0.32833349191230854,-0.18005855883413033,-1.0775893947712973,-1.421199950497626
Jonathan Burkardt,GER,"FW,DF",Mainz 05,Bundesliga,0.0,0.0,0.13,0.0,0,0.1,-0.16,2.1,26.14,2.16,70.8,11.05,3.2,-0.1,1.44,0.46,0.07,2.68,0.07,0.0,1.9,0.0,5.88,0.26,0.78,66.2,19.0,14.8,16.5,67.8,4.2,1.0,0.8,1.0,1.8,5.5,0.07,0.07,0.33,0.0,0.33,0.0,0.07,0.0,0.13,0.0,1.96,0.85,0.92,0.2,1.57,0.59,18.95,5.56,3.4,7.25,1.57,0.33,0.0,0.33,0.92,26.5,45.0,41.4,87.5,3.27,46.0,5.05,57.4,3.86,1.31,1.11,2.88,1.9,44.51,57.4,25.1,4.365890093817523,-2.064254978331011,0.5193061677954915,2.128262185102669,-2.1748948355559867,0.31374580573019656,-0.7075552752984056,-1.45704191303669,-0.4438891430343025,-0.10622372743701876,1.19199946100971,1.3018854755173133,1.8026575815028696,-1.6975825088747223,1.7716088162587291,1.7568284047353564,0.4722306911962954,-1.1922510206426349
Oliver Burke,SCO,FW,Sheffield Utd,Premier League,0.14,0.0,0.07,0.07,0,0.13,-0.1,1.77,18.58,0.78,70.6,10.43,0.85,-0.06,0.35,0.57,0.07,0.92,0.0,0.0,0.0,0.07,6.1,0.14,1.42,70.6,15.6,13.7,4.2,78.6,7.3,0.8,0.0,3.8,3.8,6.1,0.43,0.14,0.0,0.14,0.07,0.0,0.0,0.0,0.0,0.0,1.28,0.43,0.64,0.21,1.99,0.35,29.43,5.39,2.48,13.62,1.49,0.0,0.0,0.14,0.28,27.9,40.4,52.2,91.1,1.84,69.2,5.09,51.8,2.98,0.43,1.42,3.12,2.2,45.89,46.4,35.7,6.038706317057498,-3.62006261804967,0.36055643389818004,3.771173887053998,-1.0298289178720026,0.9508087644403439,-0.8545633232216603,-2.4437168415472987,1.4477742757584569,-0.6069247060391197,-2.0533445450984478,0.0909344827912755,1.0944850062617015,0.027592387008907628,-0.2290673726077988,-1.6477439353982994,-0.22372207367569794,0.0019092533091192804
